Influencer,Number of Tweets,Number of Replies,Unreplied Count,Average Reply Time (minutes),Tweet Mentions,Reply Rate
"@xaitoshi_",97,4,93,338,"xaitoshi_; irys_xyz; yank_est; Dantashi_; WojackLabs; cursor_ai; KaitoAI",4.1%
"@ZHATBA",200,3,197,544,"ZHATBA; irys_xyz",1.5%
"@zeromvx",66,2,64,216,"zeromvx; xaitoshi_; WojackLabs; irys_xyz",3.0%
"@Dantashi_",200,2,198,184,"Dantashi_; irys_xyz; Kunz0303; WorldsKnow_MORA; owenstw3; xAvellesch; VitNguynho36268; UTAirdrops; sxarr0x; debonson_; wolf201257; N01_kene; yank_est",1.0%
"@misterkiddos",177,2,175,150,"misterkiddos; irys_xyz",1.1%
"@DMacOnchain",27,2,25,213,"DMacOnchain",7.4%
"@sundaysmy",77,2,75,305,"sundaysmy; irys_xyz",2.6%
"@WZoolly",200,2,198,250,"WZoolly",1.0%
"@DmitrijMercalov",200,2,198,1410,"DmitrijMercalov",1.0%
"@pukerrainbrow",200,1,199,2,"nygelbygel; theresalearns_; antiiheroine; roschamomile",0.5%
"@hinatashyhyuuga",200,1,199,999,"hinatashyhyuuga",0.5%
"@cryptoyobeul",23,1,22,99,"cryptoyobeul; irys_xyz",4.3%
"@quang250802",200,1,199,322,"quang250802",0.5%
"@satyaXBT",200,1,199,6,"satyaXBT",0.5%
"@_MiReTu_",200,1,199,366,"_MiReTu_; irys_xyz",0.5%
"@7_Tolani",200,1,199,203,"7_Tolani",0.5%
"@AsunaRetroasdon",200,1,199,1117,"AsunaRetroasdon",0.5%
"@yank_est",200,1,199,111,"yank_est",0.5%
"@0xyadday",112,1,111,198,"0xyadday",0.9%
"@0xAperol",64,1,63,392,"0xAperol; IrysArcade",1.6%
"@josh_benaron",14,0,14,0,"None",0%
"@lew_xyz",34,0,34,0,"None",0%
"@misterwestwolf",0,0,0,0,"None",0%
"@bongbongcrypto",200,0,200,0,"None",0%
"@retreeq_",107,0,107,0,"None",0%
"@outlast_1616",132,0,132,0,"None",0%
"@IrysArcade",25,0,25,0,"None",0%
"@meitipro1",200,0,200,0,"None",0%
"@ItsMisaya",21,0,21,0,"None",0%
"@sparcrpt",91,0,91,0,"None",0%
"@Rhythm_rere2",200,0,200,0,"None",0%
"@ripchillpill",200,0,200,0,"None",0%
"@xtraaxtraa",200,0,200,0,"None",0%
"@gen1x_eth",63,0,63,0,"None",0%
"@kocer_eth",47,0,47,0,"None",0%
"@xAvellesch",200,0,200,0,"None",0%
"@zacxbt",200,0,200,0,"None",0%
"@0xCrocy",200,0,200,0,"None",0%
"@nuellweb3",200,0,200,0,"None",0%
"@dov_wo",27,0,27,0,"None",0%
"@0xLetitbe",200,0,200,0,"None",0%
"@0xteecrypt",200,0,200,0,"None",0%
"@IPALAU1",200,0,200,0,"None",0%
"@inhuau",200,0,200,0,"None",0%
"@santotheplug1_",200,0,200,0,"None",0%
"@egor4042007",196,0,196,0,"None",0%
"@impalementd",40,0,40,0,"None",0%
"@otzgary",151,0,151,0,"None",0%
"@LIMITLESSDAMI",200,0,200,0,"None",0%
"@AIC_Hugo",0,0,0,0,"None",0%
"@KeyTiffany5",40,0,40,0,"None",0%
"@0xsabphire",26,0,26,0,"None",0%
"@hyeok8911",200,0,200,0,"None",0%
"@HossseinRezaei",200,0,200,0,"None",0%
"@lululala3344",200,0,200,0,"None",0%
"@Ascend_Mind_",200,0,200,0,"None",0%
"@veiiler",134,0,134,0,"None",0%
"@Tiastel777",200,0,200,0,"None",0%
"@pinenut777",200,0,200,0,"None",0%
"@eevanss1",89,0,89,0,"None",0%
"@RaoniKor",200,0,200,0,"None",0%
"@cryptozen99",158,0,158,0,"None",0%
"@MIR_NFT",58,0,58,0,"None",0%
"@nftpln",29,0,29,0,"None",0%
"@pbillingsby_",5,0,5,0,"None",0%
"@don0tcallme",23,0,23,0,"None",0%
"@lionbytee",200,0,200,0,"None",0%
"@0xGala",7,0,7,0,"None",0%
"@CryptoSense_2",200,0,200,0,"None",0%
"@yonmin1600",200,0,200,0,"None",0%
"@Edward__Park",123,0,123,0,"None",0%
"@urheavyboy",73,0,73,0,"None",0%
"@k1ana05",200,0,200,0,"None",0%
"@EricCLFung",200,0,200,0,"None",0%
"@LolaSt1400",145,0,145,0,"None",0%
"@baeko_02",200,0,200,0,"None",0%
"@DWowmuch",200,0,200,0,"None",0%
"@co_cobling",200,0,200,0,"None",0%
"@Kudabajingan",200,0,200,0,"None",0%
"@Jst_Mariee",200,0,200,0,"None",0%
"@zeuuss_01",143,0,143,0,"None",0%
"@ElijahCrypted",48,0,48,0,"None",0%
"@KkultongY64109",200,0,200,0,"None",0%
"@conqueror_hhh",200,0,200,0,"None",0%
"@Mad_Dinero",70,0,70,0,"None",0%
"@Crypto1Marine",200,0,200,0,"None",0%
"@1manarmydoteth",66,0,66,0,"None",0%
"@Telloo55",200,0,200,0,"None",0%
"@0xDizcorvus",200,0,200,0,"None",0%
"@Magnonk909",200,0,200,0,"None",0%
"@jaypolaris7",200,0,200,0,"None",0%
"@lamaCryp",0,0,0,0,"None",0%
"@yueya_eth",200,0,200,0,"None",0%
"@tiffanylai_",7,0,7,0,"None",0%
"@OOPS_NFT",200,0,200,0,"None",0%
"@Muhibur_eth",200,0,200,0,"None",0%
"@SofiaCryptoVibe",200,0,200,0,"None",0%
"@burnieio",21,0,21,0,"None",0%
"@ank129048",200,0,200,0,"None",0%
"@MJk9656",200,0,200,0,"None",0%
